label,accession,source
Query_508816|PDGDJCHL_17863|Daphnia_pulex_virus,Daphnia pulex virus,Arthropod
Query_508817|PDGDJCHL_27476|Daphnia_pulex_virus,Daphnia pulex virus ,Arthropod
gb|XHA86529.1|Qianjiang_tombus-like_virus_78,XHA86529.1,Arthropod
gb|WKV33715.1|Riboviria_sp,WKV33715.1,Chordate
gb|QDH89441.1|Riboviria_sp,QDH89441.1,Environment
gb|XII42641.1|clirnapec_virus_39,XII42641.1,Mollusc
gb|XHA86494.1|Qianjiang_tombus-like_virus_66,XHA86494.1,Arthropod
gb|XUU15382.1|protein_Carmovirus_sp,XUU15382.1,Arthropod
gb|APG76440.1|Sanxia_water_strider_virus_14,APG76440.1,Arthropod
gb|QTJ63617.1|Phasmatodean_tombus-related_virus,QTJ63617.1,Arthropod
gb|UXX19078.1|Fangzheng_tombus-like_virus,UXX19078.1,Arthropod
gb|XHA86821.1|Qianjiang_tombus-like_virus_183,XHA86821.1,Arthropod
gb|UQB76152.1|Flumine_tombus-like_virus_49,UQB76152.1,Environment
gb|WRQ65442.1|Tolivirales_sp,WRQ65442.1,Environment
gb|XHA86482.1|Qianjiang_tombus-like_virus_62,XHA86482.1,Arthropod
ref|YP_009344999.1|Wuhan_spider_virus_9,YP_009344999.1,Arthropod
gb|XHA86704.1|Qianjiang_tombus-like_virus_141,XHA86704.1,Arthropod
gb|WRQ65282.1|Tolivirales_sp,WRQ65282.1,Environment
gb|UHM27515.1|Sanya_tombus-like_virus_3,UHM27515.1,Arthropod
ref|YP_009337122.1|Changjiang_tombus-like_virus_1,YP_009337122.1,Arthropod
gb|QKK82929.1|Upmeje_virus,QKK82929.1,Arthropod
gb|QKE44134.1|Forsythia_suspensa_tombusvirus,QKE44134.1,Angiosperm
gb|WRQ65140.1|Tolivirales_sp,WRQ65140.1,Environment
gb|QNM37815.1|Thrips_tabaci_associated_tombus-like_virus_1,QNM37815.1,Arthropod
gb|XHA87157.1|Qianjiang_tombus-like_virus_326,XHA87157.1,Arthropod
gb|XHA87049.1|Qianjiang_tombus-like_virus_277,XHA87049.1,Arthropod
gb|XHA86616.1|Qianjiang_tombus-like_virus_109,XHA86616.1,Arthropod
gb|WPR18197.1|Crogonang_virus_41,WPR18197.1,Mollusc
gb|XHA86592.1|Qianjiang_tombus-like_virus_100,XHA86592.1,Arthropod
gb|WPR18273.1|Chemarfal_virus_123,WPR18273.1,Mollusc
gb|WKV33167.1|Riboviria_sp,WKV33167.1,Chordate
gb|WRQ65171.1|Tolivirales_sp,WRQ65171.1,Environment
gb|XHA86709.1|Qianjiang_tombus-like_virus_143,XHA86709.1,Arthropod
gb|QQP18780.2|Soybean_thrips_tombus-like_virus_2,QQP18780.2,Arthropod
gb|XHA86622.1|Qianjiang_tombus-like_virus_111,XHA86622.1,Arthropod
gb|QRQ90182.1|Riboviria_sp,QRQ90182.1,Environment
gb|WRQ65740.1|Tolivirales_sp,WRQ65740.1,Environment
gb|UCS96349.1|Riboviria_sp,UCS96349.1,Chordate
gb|WWV88777.1|Riboviria_sp,WWV88777.1,Chordate
gb|WRQ65063.1|Tolivirales_sp,WRQ65063.1,Environment
gb|UGO57189.1|Riboviria_sp,UGO57189.1,Chordate
gb|WRQ65637.1|Tolivirales_sp,WRQ65637.1,Environment
gb|AFL55711.1|Japanese_iris_necrotic_ring_virus,AFL55711.1,Angiosperm
gb|UGO57611.1|Riboviria_sp,UGO57611.1,Chordate
gb|XHA87071.1|Qianjiang_tombus-like_virus_287,XHA87071.1,Arthropod
gb|WZI33143.1|Anourosorex_squamipes_ribovirus_2,WZI33143.1,Chordate
gb|WXG23532.1|Riboviria_sp,WXG23532.1,Chordate
gb|WKV33605.1|Riboviria_sp,WKV33605.1,Chordate
gb|WRQ65731.1|Tolivirales_sp,WRQ65731.1,Environment
gb|WRQ65625.1|Tolivirales_sp,WRQ65625.1,Environment
gb|WRQ65658.1|Tolivirales_sp,WRQ65658.1,Environment
gb|WRQ65518.1|Tolivirales_sp,WRQ65518.1,Environment
gb|XNT20803.1|Nodaviridae_sp,XNT20803.1,Arthropod
gb|WRQ65080.1|Tolivirales_sp,WRQ65080.1,Environment
gb|WRQ65857.1|Tolivirales_sp,WRQ65857.1,Environment
gb|QKN88911.1|Riboviria_sp,QKN88911.1,Chordate
gb|UHS16725.1|Yellowtail_scad_tombus-like_virus,UHS16725.1,Chordate
gb|WRQ65363.1|Tolivirales_sp,WRQ65363.1,Environment
gb|WRQ65137.1|Tolivirales_sp,WRQ65137.1,Environment
gb|XHA87114.1|Qianjiang_tombus-like_virus_307,XHA87114.1,Arthropod
gb|XHA87128.1|Qianjiang_tombus-like_virus_314,XHA87128.1,Arthropod
gb|WKV34527.1|Riboviria_sp,WKV34527.1,Chordate
dbj|BBN50999.1|Korle-bu_Aedes_virus,BBN50999.1,Arthropod
ref|NP_038454.1|Japanese_iris_necrotic_ring_virus,NP_038454.1,Angiosperm
gb|QPZ88364.1|Soybean_thrips_tombus-like_virus_8,QPZ88364.1,Arthropod
gb|XHA86330.1|Qianjiang_tombus-like_virus_8,XHA86330.1,Arthropod
